open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2020-04-02,6649.73,7226.02,6558.62,6826.94,569.861637,2020-04-02 23:59:59.999,3876936.51687911,3276,341.198641,2325228.81593319
2020-04-03,6786.0,7035.95,6607.95,6721.11,374.740512,2020-04-03 23:59:59.999,2558021.8821582,2605,196.299581,1340159.43925752
2020-04-04,6725.64,6996.58,6654.02,6862.65,278.684236,2020-04-04 23:59:59.999,1895481.49265107,2404,156.805761,1067213.55630322
2020-04-05,6891.57,6891.57,6674.97,6771.41,129.581436,2020-04-05 23:59:59.999,879082.34664839,1251,79.954217,542018.46355987
2020-04-06,6767.44,7347.0,6767.44,7332.68,271.71646,2020-04-06 23:59:59.999,1922614.50798947,2634,166.41688,1178673.99359031
2020-04-07,7325.21,7450.93,7084.68,7197.12,193.637296,2020-04-07 23:59:59.999,1411402.51328541,1855,107.225341,782034.29539453
2020-04-08,7198.53,7419.96,7155.97,7363.77,137.537852,2020-04-08 23:59:59.999,1005714.44811479,1277,91.23704,667268.87598987
2020-04-09,7360.5,7368.22,7108.22,7283.68,73.043289,2020-04-09 23:59:59.999,530990.1174192,932,43.874634,319187.96015316
2020-04-10,7280.13,7288.54,6750.0,6857.58,94.517529,2020-04-10 23:59:59.999,658101.56075314,1871,52.72145,367413.6601954
2020-04-11,6864.09,6935.07,6758.95,6881.93,46.401843,2020-04-11 23:59:59.999,318149.84956922,1010,22.607305,155135.82195031
2020-04-12,6900.23,7175.38,6782.41,6894.29,91.2665,2020-04-12 23:59:59.999,638196.82373381,1663,54.567446,382119.89288158
2020-04-13,6883.46,6883.78,6564.42,6836.5,115.760435,2020-04-13 23:59:59.999,779043.93645101,2558,60.945207,409693.09838803
2020-04-14,6837.6,6971.0,6767.66,6857.32,63.647023,2020-04-14 23:59:59.999,437526.92167594,1648,38.547071,264935.23020673
2020-04-15,6865.7,6926.82,6609.01,6631.75,80.44159,2020-04-15 23:59:59.999,543475.39200079,1710,34.162391,231049.22073174
2020-04-16,6612.81,7201.47,6480.0,7100.0,282.056698,2020-04-16 23:59:59.999,1948436.06848358,4621,155.332937,1072026.45997163
2020-04-17,7100.0,7145.41,6990.73,7036.17,71.961671,2020-04-17 23:59:59.999,508556.72365965,1831,36.443876,257665.13896402
2020-04-18,7026.47,7293.89,7017.63,7248.61,75.897316,2020-04-18 23:59:59.999,543854.27506569,1648,42.796358,306639.63555258
2020-04-19,7256.84,7267.46,7057.69,7121.6,66.48976,2020-04-19 23:59:59.999,475934.62996937,1291,26.220544,187932.01655265
2020-04-20,7120.85,7215.0,6750.0,6828.56,147.097576,2020-04-20 23:59:59.999,1021627.19847283,2598,62.212398,432872.00204931
2020-04-21,6823.57,6934.46,6761.06,6845.56,183.05607,2020-04-21 23:59:59.999,1253978.01157651,3270,85.735027,587813.19230118
2020-04-22,6841.33,7154.79,6819.58,7124.66,84.760407,2020-04-22 23:59:59.999,596052.03441002,1773,61.493851,431968.20428533
2020-04-23,7130.11,7752.45,7029.33,7480.05,206.001356,2020-04-23 23:59:59.999,1527239.3432491,3358,117.182027,868256.16410384
2020-04-24,7484.46,7658.78,7401.05,7497.34,110.173282,2020-04-24 23:59:59.999,829707.61477406,1709,59.759985,451105.20260997
2020-04-25,7506.54,7720.52,7437.46,7541.17,98.724925,2020-04-25 23:59:59.999,747267.39187127,1606,42.042777,319330.40223068
2020-04-26,7537.51,7705.38,7461.99,7694.13,88.994885,2020-04-26 23:59:59.999,676350.99238685,1691,37.213148,283127.88031459
2020-04-27,7695.78,7791.73,7628.24,7775.57,75.132129,2020-04-27 23:59:59.999,579408.00334417,1644,45.011537,347492.45939222
2020-04-28,7777.05,7782.01,7670.15,7748.5,44.404302,2020-04-28 23:59:59.999,343064.85783727,889,19.407648,149916.8400225
2020-04-29,7742.68,8955.58,7713.01,8778.63,320.888147,2020-04-29 23:59:59.999,2704649.8557745,4480,165.189195,1391904.90405941
2020-04-30,8782.65,9450.76,8404.31,8630.86,384.675439,2020-04-30 23:59:59.999,3448493.17947615,6246,171.327618,1527458.88424991
2020-05-01,8628.07,9051.55,8617.99,8817.65,137.638493,2020-05-01 23:59:59.999,1209287.47129153,3159,79.933029,701998.63089755
2020-05-02,8818.22,9014.77,8757.77,8972.68,59.469765,2020-05-02 23:59:59.999,528507.49092923,1880,34.151839,303491.64814248
2020-05-03,8973.85,9196.27,8718.08,8887.35,210.049083,2020-05-03 23:59:59.999,1881186.83228509,3616,84.939763,760907.97232162
2020-05-04,8896.62,8954.26,8528.63,8868.92,198.32248,2020-05-04 23:59:59.999,1736500.58165975,3130,113.926389,996909.12697881
2020-05-05,8878.25,9105.2,8772.22,9027.64,133.86243,2020-05-05 23:59:59.999,1195470.43924764,2648,74.226118,663623.94828491
2020-05-06,9022.44,9396.16,8918.99,9145.93,242.577093,2020-05-06 23:59:59.999,2227399.41493441,4513,133.972569,1229310.14616291
2020-05-07,9132.52,10063.93,9010.0,9991.11,340.351689,2020-05-07 23:59:59.999,3257938.16680605,5913,202.957248,1939844.91949317
2020-05-08,10001.44,10032.58,9717.86,9810.32,138.251436,2020-05-08 23:59:59.999,1370009.81534028,3527,63.942168,634095.46609506
2020-05-09,9805.88,9900.0,9507.03,9539.68,145.785194,2020-05-09 23:59:59.999,1416032.52967545,3573,63.254801,615103.92208099
2020-05-10,9531.93,9569.31,8127.14,8726.3,600.65983,2020-05-10 23:59:59.999,5178074.83221994,9434,283.854101,2446145.71501201
2020-05-11,8730.15,9162.08,8200.0,8561.03,399.574609,2020-05-11 23:59:59.999,3445744.81973006,6139,200.983044,1734957.54895153
2020-05-12,8560.18,8973.14,8533.72,8810.0,153.606379,2020-05-12 23:59:59.999,1349116.70376702,3662,83.086069,730801.8643703
2020-05-13,8808.62,9398.12,8800.91,9295.0,167.297195,2020-05-13 23:59:59.999,1524473.76979297,3793,94.514735,862134.21150054
2020-05-14,9305.22,9936.94,9264.35,9792.25,247.695074,2020-05-14 23:59:59.999,2394549.82855706,5114,147.112068,1424192.16004197
2020-05-15,9796.68,9839.59,9142.29,9311.55,314.061281,2020-05-15 23:59:59.999,2962845.69504214,4913,137.099781,1292141.79814142
2020-05-16,9314.71,9574.09,9224.81,9387.32,136.890462,2020-05-16 23:59:59.999,1285974.25628104,2712,66.581353,625702.11723189
2020-05-17,9384.97,9883.77,9340.55,9675.9,192.143024,2020-05-17 23:59:59.999,1855776.44296358,3434,99.881919,961409.26615297
2020-05-18,9682.67,9953.2,9433.42,9735.91,228.596217,2020-05-18 23:59:59.999,2221113.18337307,3681,114.932764,1118076.63103735
2020-05-19,9738.69,9893.93,9476.26,9771.9,166.998021,2020-05-19 23:59:59.999,1616047.12884711,3329,72.67788,706349.29276717
2020-05-20,9776.96,9836.6,9318.19,9520.76,186.184663,2020-05-20 23:59:59.999,1781035.94343176,2867,70.142859,672291.78881278
2020-05-21,9506.65,9564.73,8823.84,9058.33,241.577746,2020-05-21 23:59:59.999,2209187.86491761,3557,111.496019,1019793.07279671
2020-05-22,9057.15,9260.9,8940.0,9169.41,124.68715,2020-05-22 23:59:59.999,1137763.21342246,2322,71.629227,654681.61438044
2020-05-23,9166.81,9302.52,9091.22,9174.47,57.329497,2020-05-23 23:59:59.999,527660.74909552,1538,28.176375,259676.88924607
2020-05-24,9177.48,9297.7,8684.62,8716.23,189.507228,2020-05-24 23:59:59.999,1701312.44591027,2809,88.285894,795797.7762128
2020-05-25,8714.75,8979.62,8646.82,8890.24,176.878932,2020-05-25 23:59:59.999,1562194.61276062,2707,90.323491,798528.8935559
2020-05-26,8900.59,9013.41,8704.33,8839.14,92.653075,2020-05-26 23:59:59.999,820292.69070833,1801,50.975864,451864.60247663
2020-05-27,8842.15,9225.75,8820.0,9202.0,109.34668,2020-05-27 23:59:59.999,994500.7833749,2206,62.062066,564211.65090436
2020-05-28,9205.0,9621.93,9115.16,9578.52,134.297435,2020-05-28 23:59:59.999,1256987.15334002,2535,78.53884,734689.728642
2020-05-29,9579.0,9603.73,9315.99,9424.31,74.027066,2020-05-29 23:59:59.999,701168.29741265,1883,25.321185,240013.8884002
2020-05-30,9424.49,9739.0,9342.66,9698.33,116.297491,2020-05-30 23:59:59.999,1108335.64468651,2293,58.580668,559344.87878864
2020-05-31,9701.31,9701.84,9398.65,9469.22,93.62073,2020-05-31 23:59:59.999,893869.47220922,2186,39.386034,376784.8571258
2020-06-01,9449.84,10370.58,9424.72,10195.38,204.162993,2020-06-01 23:59:59.999,2005070.23572773,3750,128.557185,1259500.05889548
2020-06-02,10200.0,10220.0,9283.85,9522.74,333.598459,2020-06-02 23:59:59.999,3243541.04233351,4664,138.438621,1352782.61514928
2020-06-03,9514.23,9685.01,9391.9,9652.01,78.968367,2020-06-03 23:59:59.999,754104.77045587,1594,43.874158,419635.41722112
2020-06-04,9669.5,9880.8,9455.0,9792.39,120.887073,2020-06-04 23:59:59.999,1172304.68297924,2355,68.541342,665527.64389483
2020-06-05,9790.74,9849.29,9602.38,9628.52,110.72022,2020-06-05 23:59:59.999,1075701.11980385,2133,45.636003,443266.9077742
2020-06-06,9613.97,9733.85,9537.9,9661.48,74.655262,2020-06-06 23:59:59.999,719133.96338587,1609,34.052561,328496.98235576
2020-06-07,9667.25,9818.8,9365.7,9748.82,147.422656,2020-06-07 23:59:59.999,1415666.74500601,3058,72.078559,693806.95582265
2020-06-08,9750.29,9801.01,9633.08,9774.31,78.641054,2020-06-08 23:59:59.999,764139.34371864,1542,45.197433,439518.6937979
2020-06-09,9781.05,9872.56,9560.14,9772.99,140.769326,2020-06-09 23:59:59.999,1367445.16420313,1810,63.338912,616318.3112623
2020-06-10,9764.48,9986.78,9695.99,9886.32,149.387852,2020-06-10 23:59:59.999,1467699.62416974,2443,72.047971,709189.9251321
2020-06-11,9886.35,9958.93,9081.1,9269.7,257.614062,2020-06-11 23:59:59.999,2459345.65299843,4125,99.647827,948954.99889316
2020-06-12,9258.29,9549.99,9242.21,9463.82,126.715209,2020-06-12 23:59:59.999,1192655.50114009,2064,68.386254,644311.75259616
2020-06-13,9463.82,9489.97,9351.22,9465.95,39.62649,2020-06-13 23:59:59.999,373532.71101316,861,20.244391,191045.2840346
2020-06-14,9462.31,9462.31,9245.04,9346.38,62.17131,2020-06-14 23:59:59.999,582323.19435077,1147,34.698174,325320.74542333
2020-06-15,9323.26,9495.0,8923.23,9430.51,149.844349,2020-06-15 23:59:59.999,1380002.93996264,3104,73.742516,681577.49278636
2020-06-16,9421.95,9587.03,9377.5,9529.1,96.535418,2020-06-16 23:59:59.999,916823.52852423,2048,50.278506,477815.74867134
2020-06-17,9528.14,9564.15,9250.0,9463.47,87.384654,2020-06-17 23:59:59.999,823705.07798022,2029,39.480121,372533.01448397
2020-06-18,9463.85,9483.41,9286.73,9390.23,49.784917,2020-06-18 23:59:59.999,467169.69079577,1142,20.505145,192255.04696111
2020-06-19,9385.73,9438.96,9242.62,9314.01,77.608082,2020-06-19 23:59:59.999,725352.59690859,1608,41.814392,391959.38263725
2020-06-20,9307.95,9396.76,9167.99,9353.98,46.640534,2020-06-20 23:59:59.999,433506.07485512,1196,20.437288,190302.5143027
2020-06-21,9358.32,9417.09,9283.57,9294.41,42.988649,2020-06-21 23:59:59.999,401694.39663994,1129,19.076656,178532.41223067
2020-06-22,9291.44,9777.15,9271.84,9680.86,119.48478,2020-06-22 23:59:59.999,1142124.28328666,2111,63.897959,610742.93600867
2020-06-23,9689.28,9716.54,9550.0,9613.86,48.806607,2020-06-23 23:59:59.999,470309.49911107,1127,22.528574,217300.47300665
2020-06-24,9625.71,9662.99,9211.35,9308.03,147.900737,2020-06-24 23:59:59.999,1388561.59765691,2044,54.582252,511687.17765034
2020-06-25,9294.78,9334.94,9002.74,9254.68,111.484607,2020-06-25 23:59:59.999,1026985.85511568,2037,49.888622,460423.23598507
2020-06-26,9249.2,9295.87,9050.0,9161.8,95.466447,2020-06-26 23:59:59.999,874507.33902834,1571,52.959583,484969.19949752
2020-06-27,9162.35,9195.6,8835.06,9009.86,144.180415,2020-06-27 23:59:59.999,1297938.13208518,1678,68.487609,617162.5144064
2020-06-28,8993.25,9191.26,8943.61,9118.09,62.387264,2020-06-28 23:59:59.999,567391.10499894,1028,35.857825,326483.17182582
2020-06-29,9119.02,9238.72,9027.5,9182.67,61.122479,2020-06-29 23:59:59.999,558166.55931064,1205,32.728048,299088.60259643
2020-06-30,9198.47,9199.66,9063.2,9132.51,52.005473,2020-06-30 23:59:59.999,475443.2335411,1149,25.036149,229012.48932745
2020-07-01,9132.29,9289.52,9090.31,9231.97,90.950834,2020-07-01 23:59:59.999,837295.18761981,1758,40.917854,376839.03569512
2020-07-02,9232.35,9257.75,8948.28,9085.99,107.69768,2020-07-02 23:59:59.999,978980.22931847,1985,45.921837,417716.31485869
2020-07-03,9080.24,9121.51,9042.4,9058.26,38.005977,2020-07-03 23:59:59.999,345535.51917178,1130,18.416358,167435.30490697
2020-07-04,9056.63,9191.9,9043.13,9139.68,64.979986,2020-07-04 23:59:59.999,592539.84035128,1370,34.359206,313416.82353419
2020-07-05,9137.3,9141.86,8909.4,9075.83,84.816948,2020-07-05 23:59:59.999,766231.9721039,1831,40.47239,365871.76614512
2020-07-06,9067.38,9369.88,9056.59,9344.62,114.066302,2020-07-06 23:59:59.999,1053996.81305291,1940,64.462552,596577.78866651
2020-07-07,9344.15,9377.18,9206.54,9258.09,52.013121,2020-07-07 23:59:59.999,482169.76838674,1425,21.533522,199846.40116637
2020-07-08,9262.19,9464.26,9233.38,9425.13,120.262634,2020-07-08 23:59:59.999,1124957.33715155,2503,54.34682,508804.83673071
2020-07-09,9429.96,9432.63,9170.0,9234.39,68.515538,2020-07-09 23:59:59.999,635247.54081054,1496,35.107814,325051.95978247
2020-07-10,9232.87,9315.3,9125.78,9285.54,70.074404,2020-07-10 23:59:59.999,644855.43321601,1626,31.875415,294066.07477533
2020-07-11,9288.49,9298.97,9180.0,9233.85,28.973751,2020-07-11 23:59:59.999,267207.84007969,693,14.607984,134689.27236348
2020-07-12,9230.97,9342.64,9159.78,9300.0,67.36077,2020-07-12 23:59:59.999,623712.86916973,1189,40.681111,377410.94527736
2020-07-13,9300.0,9342.86,9198.53,9241.03,134.614116,2020-07-13 23:59:59.999,1249799.09068338,2638,79.34949,736794.91925676
2020-07-14,9241.88,9279.55,9107.84,9255.02,76.47142,2020-07-14 23:59:59.999,704013.82618785,1608,29.213399,269317.31016221
2020-07-15,9254.55,9274.12,9159.37,9201.51,56.09703,2020-07-15 23:59:59.999,516938.89413087,1416,28.316708,261145.59245529
2020-07-16,9196.53,9221.29,9043.3,9130.79,51.932473,2020-07-16 23:59:59.999,473092.21356627,1164,24.485032,223223.96513122
2020-07-17,9135.09,9181.95,9089.05,9153.08,26.467403,2020-07-17 23:59:59.999,241965.3541453,720,16.95189,155039.23939008
2020-07-18,9147.68,9205.47,9122.89,9164.84,33.498036,2020-07-18 23:59:59.999,307022.8560458,1100,15.463446,141758.88846116
2020-07-19,9170.52,9230.85,9106.76,9210.99,33.556284,2020-07-19 23:59:59.999,307549.35119545,649,24.456913,224269.4305867
2020-07-20,9215.16,9220.16,9136.12,9162.0,49.3685,2020-07-20 23:59:59.999,452782.65466484,1138,20.467902,187845.18540203
2020-07-21,9162.0,9431.33,9154.02,9386.46,137.426654,2020-07-21 23:59:59.999,1282154.81137215,1736,74.583202,695340.3708474
